´	''
`	'!
^	'>
¨	':
~	'?
÷	-:
×	/\
≠	!=
≤	=<
≥	>=
¬	-,
|	!!
¦	||
¯	-=
­	--
¡	~!
¿	~?
·	~.
¸	',
«	<<
»	>>
[	<(
]	)>
{	(!
}	!)
£	$$
\	//
±	+-
←	<-
→	->
↑	-!
،	,+
؛	;+
؟	?+
ـ	++
ً	:+
ٌ	"+
ٍ	=+
َ	/+
ُ	'+
⇐	<=
↔	<>
〈	</
「	<'
『	<"
≪	<*
《	<+
⇔	==
⇒	=>
〓	=_
≌	=?
」	>'
』	>"
》	>+
〜	-?
∋	-)
∓	-+
、	,_
ἃ	,!
ἁ	,'
〆	;_
ἂ	;!
ἀ	;'
∷	::
∵	:.
≮	!<
≯	!>
ἆ	!:
≅	?=
≃	?-
ἅ	?,
ἄ	?;
ἇ	?:
‡	/=
〉	/>
†	/-
。	._
∴	.:
‥	..
‾	'-
⊆	(_
∈	(-
〔	('
【	("
⊇	)_
〕	)'
】	)"
≫	*>
々	*_
∗	*-
〄	+_
〃	+"
ˇ	'<
˛	';
˙	'.
˝	'"
˘	'(
ϴ	'%
ْ	0+
∅	/0
‰	%0
〇	0_
⊙	0.
∝	0(
˚	'0
∞	00
۰	0a
⁰	0S
½	12
¼	14
⅛	18
⊚	02
¾	34
⅜	38
゜	05
⅝	58
⅞	78
◐	0L
○	0m
●	0M
◎	0o
◑	0R
₀	0s
☺	0u
☻	0U
ِ	1+
‹	<1
›	>1
‐	-1
∼	?1
☆	*1
⒈	1.
′	1'
‵	1"
¹	11
۱	1a
¹	1S
⅓	13
⅕	15
⅙	16
㈠	1c
⑀	1h
 	1H
⑆	1j
 	1M
 	1N
ⅰ	1r
Ⅰ	1R
₁	1s
 	1T
‗	=2
−	-2
‖	!2
≈	?2
★	*2
⒉	2.
″	2'
‶	2"
²	22
۲	2a
²	2S
⅔	23
⅖	25
㈡	2c
⑂	2h
⑇	2j
ⅱ	2r
Ⅱ	2R
₂	2s
ّ	3+
≡	=3
―	-3
⋮	:3
⋯	.3
┅	3_
┄	3-
┆	3!
┇	3/
⒊	3.
‴	3'
‷	3"
³	33
۳	3a
³	3S
⅗	35
㈢	3c
⑁	3h
⑈	3j
 	3M
ⅲ	3r
Ⅲ	3R
₃	3s
┉	4_
┈	4-
┊	4!
┋	4/
⒋	4.
۴	4a
⁴	4S
⅘	45
㈣	4c
⑃	4h
⑉	4j
 	4M
ⅳ	4r
Ⅳ	4R
₄	4s
゛	"5
ゝ	*5
ゞ	+5
⒌	5.
۵	5a
⁵	5S
⅚	56
㈤	5c
ⅴ	5r
Ⅴ	5R
₅	5s
‘	'6
“	"6
ー	-6
・	.6
ヽ	*6
ヾ	+6
⒍	6.
۶	6a
⁶	6S
㈥	6c
 	6M
ⅵ	6r
Ⅵ	6R
₆	6s
⌈	<7
⌉	>7
⌊	7<
⌋	7>
⒎	7.
۷	7a
⁷	7S
㈦	7c
ⅶ	7r
Ⅶ	7R
₇	7s
⒏	8.
<80>	PA
<81>	HO
<82>	BH
<83>	NH
<84>	IN
<85>	NL
<86>	SA
<87>	ES
۸	8a
<88>	HS
⁸	8S
<89>	HJ
<8a>	VS
